Instance,Model,Objective,OperationalConstraints,ObjectiveValue,MIPGap,Runtime,Status
example.json,ISP,OF1,--none--,2.0,0.0000%,0.00,OK
example.json,ISP,OF1,--oper-constr,2.0,0.0000%,0.00,OK
example.json,ISP,OF2,--none--,1.0,0.0000%,0.00,OK
example.json,ISP,OF2,--oper-constr,1.0,0.0000%,0.00,OK
isp-S200-I120.json,ISP,OF1,--none--,3159.0,0.0000%,0.31,OK
isp-S200-I120.json,ISP,OF1,--oper-constr,1719.0,0.0000%,0.64,OK
isp-S200-I120.json,ISP,OF2,--none--,-0.0,0.0000%,0.03,OK
isp-S200-I120.json,ISP,OF2,--oper-constr,-0.0,0.0000%,0.04,OK
isp-S200-I240.json,ISP,OF1,--none--,5318.0,0.0000%,0.65,OK
isp-S200-I240.json,ISP,OF1,--oper-constr,3161.0,0.0000%,1.33,OK
isp-S200-I240.json,ISP,OF2,--none--,5.0,0.0000%,0.05,OK
isp-S200-I240.json,ISP,OF2,--oper-constr,5.0,0.0000%,0.07,OK
isp-S200-I40.json,ISP,OF1,--none--,1367.0,0.0000%,0.11,OK
isp-S200-I40.json,ISP,OF1,--oper-constr,600.0,0.0000%,0.15,OK
isp-S200-I40.json,ISP,OF2,--none--,-0.0,0.0000%,0.01,OK
isp-S200-I40.json,ISP,OF2,--oper-constr,-0.0,0.0000%,0.02,OK
isp-S40-I120.json,ISP,OF1,--none--,1075.0,0.0000%,0.02,OK
isp-S40-I120.json,ISP,OF1,--oper-constr,1010.0,0.0000%,0.03,OK
isp-S40-I120.json,ISP,OF2,--none--,1.0,0.0000%,0.01,OK
isp-S40-I120.json,ISP,OF2,--oper-constr,1.0,0.0000%,0.01,OK
isp-S40-I240.json,ISP,OF1,--none--,1623.0,0.0000%,0.02,OK
isp-S40-I240.json,ISP,OF1,--oper-constr,1560.0,0.0000%,0.09,OK
isp-S40-I240.json,ISP,OF2,--none--,1.0,0.0000%,0.01,OK
isp-S40-I240.json,ISP,OF2,--oper-constr,1.0,0.0000%,0.01,OK
isp-S40-I40.json,ISP,OF1,--none--,669.0,0.0000%,0.01,OK
isp-S40-I40.json,ISP,OF1,--oper-constr,522.0,0.0000%,0.02,OK
isp-S40-I40.json,ISP,OF2,--none--,-0.0,0.0000%,0.00,OK
isp-S40-I40.json,ISP,OF2,--oper-constr,-0.0,0.0000%,0.00,OK
isp-S400-I120.json,ISP,OF1,--none--,4469.0,0.0000%,0.87,OK
isp-S400-I120.json,ISP,OF1,--oper-constr,1800.0,0.0000%,1.55,OK
isp-S400-I120.json,ISP,OF2,--none--,1.0,0.0000%,0.05,OK
isp-S400-I120.json,ISP,OF2,--oper-constr,1.0,0.0000%,0.07,OK
isp-S400-I240.json,ISP,OF1,--none--,6838.0,0.0000%,1.71,OK
isp-S400-I240.json,ISP,OF1,--oper-constr,3483.0,0.0000%,5.70,OK
isp-S400-I240.json,ISP,OF2,--none--,1.0,0.0000%,0.10,OK
isp-S400-I240.json,ISP,OF2,--oper-constr,1.0,0.0000%,0.15,OK
isp-S400-I40.json,ISP,OF1,--none--,1568.0,0.0000%,0.29,OK
isp-S400-I40.json,ISP,OF1,--oper-constr,600.0,0.0000%,0.37,OK
isp-S400-I40.json,ISP,OF2,--none--,-0.0,0.0000%,0.03,OK
isp-S400-I40.json,ISP,OF2,--oper-constr,-0.0,0.0000%,0.03,OK
isp-S200-I40.json,ISPBridge,OF1,--oper-constr,600.0,0.0000%,3.12,OK
isp-S200-I40.json,ISPBridge,OF2,--oper-constr,-0.0,0.0000%,0.15,OK
isp-S40-I120.json,ISPBridge,OF1,--oper-constr,1095.0,0.0000%,3.39,OK
isp-S40-I120.json,ISPBridge,OF2,--oper-constr,1.0,0.0000%,0.65,OK
isp-S40-I240.json,ISPBridge,OF1,--oper-constr,1804.0,0.0000%,39.94,OK
isp-S40-I240.json,ISPBridge,OF2,--oper-constr,7.0,0.0000%,28.40,OK
isp-S40-I40.json,ISPBridge,OF1,--oper-constr,539.0,0.0000%,0.23,OK
isp-S40-I40.json,ISPBridge,OF2,--oper-constr,1.0,0.0000%,0.04,OK
isp-S400-I40.json,ISPBridge,OF1,--oper-constr,600.0,0.0000%,6.96,OK
isp-S400-I40.json,ISPBridge,OF2,--oper-constr,1.0,0.0000%,0.36,OK
